id,name,category_id,execution_phase,target_surface,attacker_position,artifact,privileges_sought,redacted_skill_summary,representative_behaviors,payload_included,live_code_included,evidence_basis,related_benchmarks,reference_urls,status
computer_use_data_exfiltration_chain,Computer-Use Data Exfiltration Chain,high_privilege_tool_misuse,cross-app execution,"browser, clipboard, filesystem, messaging, cloud drives",hybrid web-OS adversary or malicious task framing,multi-app workflow and sensitive local data,collection and transfer of confidential information,A cross-application workflow causes the agent to read sensitive local or remote data and move it into an attacker-controlled sink.,sensitive file collection;cross-app copy or upload;exfiltration through normal tools,False,False,direct,,https://arxiv.org/abs/2505.21936;https://arxiv.org/abs/2601.08406,redacted_public_pattern
regulated_domain_action_abuse,Regulated-Domain Action Abuse,high_privilege_tool_misuse,decision and execution,"finance, healthcare, legal, government, enterprise tools",malicious user or compromised workflow,tool call with high-consequence side effects,unsafe action completion in sensitive domains,The agent performs materially consequential actions in regulated or high-stakes settings without adequate policy checks or human approval.,policy-violating execution;unsafe task completion in regulated domains;text-safe but tool-unsafe behavior,False,False,direct,gap;eu_agent_bench,https://arxiv.org/abs/2602.16943;https://arxiv.org/abs/2510.21524,redacted_public_pattern
harmful_multi_step_operator,Harmful Multi-Step Operator,harmful_task_misuse_and_jailbreaks,task decomposition and execution,general tool-using agent workflows,malicious user,"multi-step plan, sequenced tool calls",completion of harmful end goals over several steps,The agent remains compliant across a sequence of individually plausible steps that collectively implement a harmful objective.,harmful task planning;stepwise escalation;low-refusal multi-step execution,False,False,direct,agentharm;safearena,https://arxiv.org/abs/2410.09024;https://arxiv.org/abs/2503.04957,redacted_public_pattern
cybersecurity_offense_workflow,Cybersecurity Offense Workflow,harmful_task_misuse_and_jailbreaks,specialized tool use,"codebases, services, vulnerability workflows",malicious user or offensive benchmark operator,detect/exploit/patch workflow,security-impacting offensive capability,An agent chains analysis and tool use to pursue offensive cybersecurity goals; this entry remains metadata-only and omits exploit details.,vulnerability hunt workflow;offense-defense dual use;security-impacting task completion,False,False,direct,,https://arxiv.org/abs/2505.15216;https://doi.org/10.31219/osf.io/36jm5_v1,redacted_public_pattern
delegation_hijack_peer_agent,Delegation Hijack via Peer Agent,multi_agent_adversarial_manipulation,delegation and inter-agent messaging,multi-agent task routing and peer messages,compromised peer agent,"delegation message, shared context, peer output",unsafe action execution by another agent,A compromised or adversarial peer agent manipulates another agent into taking harmful actions through the delegation channel.,peer instruction poisoning;cross-agent coercion;unsafe delegated execution,False,False,direct,bad_acts,https://arxiv.org/abs/2508.16481;https://arxiv.org/abs/2511.05269,redacted_public_pattern
credential_vault_secret_exfiltration,Credential Vault Secret Exfiltration,high_privilege_tool_misuse,secret retrieval and command execution,"password managers, secret vaults, injected env vars",malicious workflow or over-scoped local agent,"vault items, secret references, runtime-injected credentials",credential theft and privileged follow-on access,"A public secret-management skill is repurposed to read or relay stored credentials, enabling downstream access to unrelated systems.",vault item enumeration;secret relay into other tools;credential use outside original task scope,False,False,public_catalog_inference,,https://github.com/openclaw/openclaw/blob/main/skills/1password/SKILL.md;https://github.com/sundial-org/awesome-openclaw-skills;https://clawhub-skills.com/,redacted_public_pattern
source_control_and_ci_mutation,Source Control and CI Mutation,high_privilege_tool_misuse,repo administration and workflow automation,"GitHub repositories, pull requests, Actions workflows, CI logs","malicious prompt, compromised issue/PR, or over-scoped repo auth","repo contents, workflow YAML, PR comments, run logs","supply-chain mutation, secret exposure, or unauthorized merges","A repo-management skill can be pushed beyond review tasks into mutating CI pipelines, modifying repository state, or extracting sensitive build context.",workflow file mutation;log scraping for secrets or tokens;repo-side action beyond requested scope,False,False,public_catalog_inference,gap,https://github.com/openclaw/openclaw/blob/main/skills/github/SKILL.md;https://github.com/openai/skills/blob/main/skills/.curated/gh-fix-ci/SKILL.md;https://github.com/sundial-org/awesome-openclaw-skills,redacted_public_pattern
cloud_deploy_and_dns_mutation,Cloud Deploy and DNS Mutation,high_privilege_tool_misuse,deployment and infrastructure administration,"Cloudflare, Vercel, DNS, edge workers, cloud CLIs",malicious task framing or over-scoped deploy token,"deploy commands, DNS records, routes, env vars, zones","traffic hijack, content replacement, or infrastructure drift","Deployment and infrastructure skills can be abused to repoint traffic, publish altered content, or push unintended infrastructure changes with production impact.",DNS record changes;unexpected production deploy;edge-config or route mutation,False,False,public_catalog_inference,os_harm;gap,https://github.com/openai/skills/blob/main/skills/.curated/cloudflare-deploy/SKILL.md;https://github.com/sundial-org/awesome-openclaw-skills;https://clawhub-skills.com/,redacted_public_pattern
browser_session_account_takeover,Browser Session Account Takeover,high_privilege_tool_misuse,browser automation and session reuse,"logged-in browser sessions, forms, anti-bot bypass browsers","malicious site, prompt, or workflow author","session cookies, browser actions, form submissions",account actions behind an already-authenticated session,"Public browser-automation skills make it easier to drive already-authenticated sessions, turning any task hijack into real account-side effects.",unauthorized form submission;session reuse for sensitive actions;anti-bot-evasion-assisted automation,False,False,public_catalog_inference,os_harm;malurlbench,https://github.com/openai/skills/blob/main/skills/.curated/playwright/SKILL.md;https://github.com/sundial-org/awesome-openclaw-skills;https://clawhub-skills.com/,redacted_public_pattern
communication_impersonation_and_history_mining,Communication Impersonation and History Mining,high_privilege_tool_misuse,messaging and communications access,"Slack, Discord, WhatsApp, email, chat history, outbound messaging","malicious user, compromised workflow, or over-broad bot token","message history, pinned posts, attachments, outbound messages","social engineering, impersonation, or private data collection","Communication skills collapse reading, searching, and sending into a single capability surface, making impersonation or history mining a high-consequence failure mode.",message history harvesting;third-party messaging without sufficient confirmation;channel or thread manipulation,False,False,public_catalog_inference,openagentsafety,https://github.com/openclaw/openclaw/blob/main/skills/slack/SKILL.md;https://github.com/openclaw/openclaw/blob/main/skills/wacli/SKILL.md;https://github.com/sundial-org/awesome-openclaw-skills,redacted_public_pattern
camera_and_sensor_surveillance_abuse,Camera and Sensor Surveillance Abuse,high_privilege_tool_misuse,device and sensor access,"RTSP or ONVIF cameras, local peripherals, captured media",malicious user request or hijacked automation,"snapshots, clips, motion events, camera configs",covert observation and sensitive environment capture,Camera-facing skills can be redirected from legitimate monitoring into opportunistic observation or collection of sensitive visual data.,snapshot capture outside intended context;clip export of sensitive spaces;motion-trigger abuse,False,False,public_catalog_inference,os_harm,https://github.com/openclaw/openclaw/blob/main/skills/camsnap/SKILL.md;https://clawhub-skills.com/;https://github.com/sundial-org/awesome-openclaw-skills,redacted_public_pattern
interactive_terminal_session_hijack,Interactive Terminal Session Hijack,high_privilege_tool_misuse,interactive CLI control,"tmux sessions, long-running terminals, background agent panes",malicious workflow author or compromised peer task,"keystrokes, pane output, control characters, session names",command injection into trusted sessions or secret scraping,"A session-control skill can steer existing interactive terminals, which is riskier than ordinary shell execution because it inherits session state, auth, and operator trust.",keystroke injection into active sessions;pane scraping for secrets or outputs;session pivot into already-authenticated tools,False,False,public_catalog_inference,openagentsafety,https://github.com/openclaw/openclaw/blob/main/skills/tmux/SKILL.md;https://github.com/sundial-org/awesome-openclaw-skills,redacted_public_pattern
payment_and_wallet_transaction_abuse,Payment and Wallet Transaction Abuse,high_privilege_tool_misuse,financial execution and transfers,"crypto wallets, exchanges, Stripe, brokerage and payment APIs",malicious user prompt or hijacked downstream workflow,"payment requests, wallet transfers, trade orders, invoices","unauthorized transfer, trading, or purchase activity","Finance-facing skills expose direct economic side effects, so even a small planning failure can become a real transfer, trade, or payment mutation.",wallet transfer initiation;exchange order placement;billing or subscription mutation,False,False,public_catalog_inference,eu_agent_bench;gap,https://clawhub-skills.com/;https://github.com/sundial-org/awesome-openclaw-skills,redacted_public_pattern
workspace_document_bulk_export,Workspace Document Bulk Export,high_privilege_tool_misuse,workspace and knowledge-base access,"Google Workspace, Notion, Apple Notes, document stores, email-linked files",malicious prompt or over-scoped OAuth integration,"docs, notes, attachments, drives, calendars, contacts",bulk sensitive data access and relay,"Workspace skills often span mail, files, notes, and calendars, which makes them especially prone to silent over-collection once broad access is granted.",multi-document export;cross-app knowledge harvest;workspace search beyond user intent,False,False,public_catalog_inference,openagentsafety,https://github.com/sundial-org/awesome-openclaw-skills;https://clawhub-skills.com/;https://github.com/openclaw/openclaw/blob/main/skills/apple-notes/SKILL.md,redacted_public_pattern
oauth_scope_overcollection,OAuth Scope Overcollection,config_and_parameter_poisoning,account linking and authorization,"OAuth consent flows, refresh tokens, multi-service scopes",skill author or overly broad integration setup,"OAuth config, granted scopes, persistent refresh tokens","standing access across mail, docs, chat, or cloud resources","Public productivity and communication skills frequently normalize broad OAuth grants, creating a hidden long-lived privilege surface that outlasts the original task.",over-broad scope request;multi-service token reuse;standing access after one-off setup,False,False,public_catalog_inference,gap,https://github.com/sundial-org/awesome-openclaw-skills;https://clawhub-skills.com/;https://github.com/openclaw/openclaw/blob/main/skills/slack/SKILL.md,redacted_public_pattern
social_platform_mass_posting_abuse,Social Platform Mass Posting Abuse,harmful_task_misuse_and_jailbreaks,outbound publishing and audience reach,"X, Reddit, LinkedIn, Telegram, Discord, social APIs",malicious user or hijacked content workflow,"posts, replies, DMs, channel messages, media uploads","spam, manipulation, impersonation, or coordinated posting","Social publishing skills allow one prompt to become many outward-facing actions, turning routine content automation into a scalable abuse channel.",multi-channel posting;impersonating brand or operator voice;coordinated social amplification,False,False,public_catalog_inference,agentharm,https://github.com/sundial-org/awesome-openclaw-skills;https://clawhub-skills.com/;https://github.com/openclaw/openclaw/blob/main/skills/slack/SKILL.md,redacted_public_pattern
abandoned_repository_skill_hijack,Abandoned Repository Skill Hijack,dependency_supply_chain_poisoning,"distribution, updates, and source resolution",skill source repositories and update channels,repository hijacker or new maintainer of abandoned source,"GitHub repository ownership, tagged releases, install source refs",silent skill takeover through trusted install paths,"When a skill points to an abandoned repository, the trust anchor can shift without the user noticing, enabling a later source-level takeover.",repo ownership change after abandonment;trusted update source drift;malicious replacement under old skill identity,False,False,direct,synthchain,https://arxiv.org/abs/2603.16572;https://openclawdoc.com/docs/skills/clawhub/,redacted_public_pattern
semantic_behavior_mismatch_listing,Semantic-Behavior Mismatch Listing,benchmark_coverage_and_meta_audit,marketplace review and installation,"SKILL.md, README, listing metadata, repository behavior",skill publisher,"descriptions, docs, repository code",passing description-only reviews while hiding risk in behavior,A skill can look benign in its description while repository contents or runtime behavior implement a very different and riskier capability.,description-code incongruence;benign README with risky implementation;review bypass via semantic framing,False,False,direct,safeaudit,https://arxiv.org/abs/2603.16572;https://arxiv.org/abs/2603.21019;https://openclawdoc.com/docs/skills/clawhub/,redacted_public_pattern
inter_skill_combinatorial_risk,Inter-Skill Combinatorial Risk,benchmark_coverage_and_meta_audit,multi-skill planning and collaborative invocation,"cross-skill data flow, chaining, and delegated execution",benign-looking but risky skill composition,outputs and permissions flowing between skills,harmful emergent behavior from individually benign skills,"The risk comes not from one skill alone but from how multiple skills combine, letting outputs or permissions compound into a capability none of them obviously advertises alone.",unsafe cross-skill chaining;output-to-input privilege amplification;emergent harmful workflow,False,False,direct,safeaudit,https://arxiv.org/abs/2603.21019;https://clawhub-skills.com/,redacted_public_pattern
popularity_signal_laundering,Popularity Signal Laundering,benchmark_coverage_and_meta_audit,"discovery, ranking, and installation","downloads, ratings, badges, marketplace ranking signals",skill publisher or marketplace manipulator,public trust signals and recommendation surfaces,unsafe installs driven by social proof rather than code trust,"Marketplace trust signals can make risky skills appear safer than they are, especially when users substitute popularity or badges for technical review.",install decision driven by download count;trust badge overreach;ranking-assisted risky adoption,False,False,direct,,https://arxiv.org/abs/2603.21019;https://openclawdoc.com/docs/skills/clawhub/,redacted_public_pattern
